,read_bandwidth,read_latency,read_iops,write_bandwidth,write_latency,write_iops,total_bandwidth,timestamp,duration,total_iops,io_depth,jobs,ERROR_CODE,iops_latency_ratio,avg_latency
0,111656,2864.373779,3489.255371,0,0.0,0.0,111656,Fri Jan 20 19:28:19 2023,9,3489.255371,10,0,,2.4363128838710124,1432.1868895
1,104373,30653.410156,3261.672852,0,0.0,0.0,104373,Fri Jan 20 19:28:27 2023,9,3261.672852,100,0,,0.2128097875832305,15326.705078
2,105075,12179.25,3283.610107,0,0.0,0.0,105075,Fri Jan 20 19:28:35 2023,9,3283.610107,40,0,,0.5392138443664429,6089.625
3,104280,21475.476562,3258.769287,0,0.0,0.0,104280,Fri Jan 20 19:28:44 2023,9,3258.769287,70,0,,0.3034874944536749,10737.738281
4,104457,19602.503906,3264.294678,0,0.0,0.0,104457,Fri Jan 20 19:28:52 2023,9,3264.294678,64,0,,0.3330487465941383,9801.251953
5,104053,8608.959961,3251.685303,0,0.0,0.0,104053,Fri Jan 20 19:29:01 2023,9,3251.685303,28,0,,0.7554188468132429,4304.4799805
6,104404,14096.790039,3262.638916,0,0.0,0.0,104404,Fri Jan 20 19:29:09 2023,9,3262.638916,46,0,,0.46289104214131366,7048.3950195
7,105017,6093.205078,3281.788574,0,0.0,0.0,105017,Fri Jan 20 19:29:18 2023,9,3281.788574,20,0,,1.0771961658894948,3046.602539
8,104133,9217.21582,3254.182373,0,0.0,0.0,104133,Fri Jan 20 19:29:26 2023,9,3254.182373,30,0,,0.7061096184682807,4608.60791
9,105008,7312.684082,3281.503662,0,0.0,0.0,105008,Fri Jan 20 19:29:34 2023,9,3281.503662,24,0,,0.8974826822007378,3656.342041
10,104326,4293.030273,3260.212402,0,0.0,0.0,104326,Fri Jan 20 19:29:43 2023,9,3260.212402,14,0,,1.5188396981518326,2146.5151365
11,104433,5514.44873,3263.552246,0,0.0,0.0,104433,Fri Jan 20 19:29:51 2023,9,3263.552246,18,0,,1.183636807880885,2757.224365
12,104099,6761.041992,3253.121826,0,0.0,0.0,104099,Fri Jan 20 19:30:00 2023,9,3253.121826,22,0,,0.9623137468601008,3380.520996
13,105426,3944.734619,3294.565918,0,0.0,0.0,105426,Fri Jan 20 19:30:08 2023,9,3294.565918,13,0,,1.6703612466763,1972.3673095
14,104295,3374.197266,3259.245361,0,0.0,0.0,104295,Fri Jan 20 19:30:17 2023,9,3259.245361,11,0,,1.9318641466767164,1687.098633
15,104251,3682.290039,3257.871094,0,0.0,0.0,104251,Fri Jan 20 19:30:25 2023,9,3257.871094,12,0,,1.7694809803112308,1841.1450195
16,105337,1821.938965,3291.802002,0,0.0,0.0,105337,Fri Jan 20 19:30:33 2023,9,3291.802002,6,0,,3.613515123433347,910.9694825
